datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-04-24,#trump,12033,2214.9502000000084,2215.570799999986,%Y-%m-%d
2019-04-23,#federalshutdown,1,0.4939,0,%Y-%m-%d
2019-04-23,#trupm,1,0.6486,0,%Y-%m-%d
2019-04-24,#trupm,1,0.6486,0,%Y-%m-%d
2019-04-23,#chungus,2,0.6908,0,%Y-%m-%d
2019-04-23,#terrorismfinance,2,0.6908,0,%Y-%m-%d
2019-04-24,#terrorismfinance,1,0.6908,0,%Y-%m-%d
2019-04-24,#ontario,549,169.19759999999982,61.32520000000003,%Y-%m-%d
2019-04-24,#qatarterrorism,1,0,0.9702,%Y-%m-%d
2019-04-24,#worldcup2022,10,0,3.9502000000000006,%Y-%m-%d
2019-04-24,#poland,468,92.13469999999998,58.221500000000034,%Y-%m-%d
2019-04-24,#qatarblockade,1,0,0.0516,%Y-%m-%d
2019-04-24,#aljazeera,42,5.0789,11.167100000000001,%Y-%m-%d
2019-04-24,#today,1354,451.77960000000036,65.07639999999998,%Y-%m-%d
2019-04-24,#saudiarabia,2838,258.30269999999985,764.3314000000008,%Y-%m-%d
2019-04-24,#badblood,23,3.8676000000000004,2.712799999999999,%Y-%m-%d
2019-04-24,#jesse,9,0.7139,0.91,%Y-%m-%d
2019-04-24,#airitaly,5,1.7887,0,%Y-%m-%d
2019-04-24,#venezuela,20370,544.756199999995,2692.789699999911,%Y-%m-%d
2019-04-24,#namibia,142,25.554900000000007,9.772699999999999,%Y-%m-%d
2019-04-24,#egypt,1131,224.74280000000033,123.77289999999992,%Y-%m-%d
2019-04-25,trupm,9,2.307,1.1988,%Y-%m-%d
2019-04-25,uae,14515,2688.424999999915,729.7224999999993,%Y-%m-%d
day,terrorism,25625,1793.8186000000294,15226.124600000396,day
day,terrorism financing,67,1.509,53.688200000000016,day
day,"""al thani""",29,4.2917000000000005,1.1148,day
day,poland,5523,1106.4834000000026,738.5789000000051,day
2019-04-25,ted deutch,4,0.1548,0.8674,%Y-%m-%d
day,qatar from saudi arabia,31,6.884900000000002,5.811400000000001,day
day,chungus,388,44.97249999999994,14.165799999999994,day
day,qatar,7576,942.2250000000012,971.1874000000037,day
day,united arab emirates,751,287.16040000000055,90.75850000000001,day
day,boeing qatar,5,0.732,0.5106,day
2019-04-25,qatar airways,164,26.8957,5.450400000000002,%Y-%m-%d
2019-04-24,"""qatar world cup""",4,0,1.3618,%Y-%m-%d
2019-04-25,"""qatar world cup""",26,0,14.863600000000005,%Y-%m-%d
2019-04-25,terrorism finance,11,1.2498,5.0389,%Y-%m-%d
2019-04-25,trump,851852,151960.72800004005,233026.44890001358,%Y-%m-%d
2019-04-25,terrorism,27682,1383.4595000000043,17495.541200001036,%Y-%m-%d
2019-04-25,qatar from saudi arabia,24,2.9158999999999997,5.7931,%Y-%m-%d
2019-04-25,"""al thani""",26,2.5059,0.6778,%Y-%m-%d
2019-04-25,air italy,424,66.84490000000014,10.8314,%Y-%m-%d
2019-04-25,chungus,260,29.790500000000005,14.213699999999998,%Y-%m-%d
2019-04-25,flask,478,70.07179999999993,42.40960000000004,%Y-%m-%d
2019-04-25,qatar from poland,2,0.7506,0,%Y-%m-%d
2019-04-25,poland,9077,1953.9230000000039,1019.3347000000151,%Y-%m-%d
2019-04-25,namibia,1191,328.7617000000001,75.8514,%Y-%m-%d
2019-04-25,united arab emirates,1164,489.41059999999527,49.06309999999993,%Y-%m-%d
